c_order_id, c_order_date, c_order_time, c_order_subtotal, c_order_tax, c_order_total, c_order_payment_type
0, 2023-2-1, 22:11:35, 13, 1.07, 14.07, debit
1, 2023-2-1, 13:43:34, 16, 1.32, 17.32, debit
2, 2023-2-1, 19:13:30, 23, 1.90, 24.90, debit
3, 2023-2-1, 21:10:37, 5, 0.41, 5.41, debit
4, 2023-2-1, 20:49:48, 8, 0.66, 8.66, credit
5, 2023-2-1, 11:7:35, 24, 1.98, 25.98, debit
6, 2023-2-1, 16:22:54, 15, 1.24, 16.24, credit
7, 2023-2-1, 18:53:32, 5, 0.41, 5.41, cash
8, 2023-2-1, 21:34:0, 24, 1.98, 25.98, credit
9, 2023-2-1, 11:37:44, 12, 0.99, 12.99, cash
10, 2023-2-1, 11:44:55, 22, 1.82, 23.82, credit
11, 2023-2-1, 22:45:35, 25, 2.06, 27.06, cash
12, 2023-2-1, 16:51:43, 26, 2.15, 28.14, debit
13, 2023-2-1, 18:28:34, 29, 2.39, 31.39, debit
14, 2023-2-1, 11:17:37, 19, 1.57, 20.57, credit
15, 2023-2-1, 13:23:0, 16, 1.32, 17.32, credit
16, 2023-2-1, 12:55:5, 5, 0.41, 5.41, credit
17, 2023-2-1, 22:3:31, 9, 0.74, 9.74, credit
18, 2023-2-1, 21:22:44, 24, 1.98, 25.98, debit
19, 2023-2-1, 11:33:2, 14, 1.16, 15.15, debit
20, 2023-2-1, 13:55:51, 6, 0.49, 6.50, credit
21, 2023-2-1, 20:9:59, 11, 0.91, 11.91, debit
22, 2023-2-1, 15:15:20, 18, 1.49, 19.48, credit
23, 2023-2-1, 19:54:52, 8, 0.66, 8.66, debit
24, 2023-2-1, 19:25:16, 6, 0.49, 6.50, credit
25, 2023-2-1, 21:55:16, 25, 2.06, 27.06, credit
26, 2023-2-1, 15:27:25, 18, 1.49, 19.48, credit
27, 2023-2-1, 12:26:34, 5, 0.41, 5.41, credit
28, 2023-2-1, 14:0:59, 22, 1.82, 23.82, credit
29, 2023-2-1, 18:3:24, 12, 0.99, 12.99, cash
30, 2023-2-1, 17:6:44, 18, 1.49, 19.48, debit
31, 2023-2-1, 18:19:9, 28, 2.31, 30.31, debit
32, 2023-2-1, 13:11:19, 11, 0.91, 11.91, credit
33, 2023-2-1, 18:41:51, 19, 1.57, 20.57, cash
34, 2023-2-1, 13:17:5, 24, 1.98, 25.98, debit
35, 2023-2-1, 20:9:34, 20, 1.65, 21.65, debit
36, 2023-2-1, 18:53:38, 23, 1.90, 24.90, debit
37, 2023-2-1, 11:36:34, 12, 0.99, 12.99, credit
38, 2023-2-1, 13:1:20, 28, 2.31, 30.31, debit
39, 2023-2-1, 18:19:36, 26, 2.15, 28.14, credit
40, 2023-2-1, 18:31:5, 22, 1.82, 23.82, cash
41, 2023-2-1, 11:5:25, 5, 0.41, 5.41, credit
42, 2023-2-1, 18:2:42, 26, 2.15, 28.14, credit
43, 2023-2-1, 22:27:35, 17, 1.40, 18.40, cash
44, 2023-2-1, 14:21:16, 22, 1.82, 23.82, credit
45, 2023-2-1, 15:11:53, 20, 1.65, 21.65, credit
46, 2023-2-1, 13:48:5, 26, 2.15, 28.14, credit
47, 2023-2-1, 13:1:5, 13, 1.07, 14.07, debit
48, 2023-2-1, 22:42:20, 26, 2.15, 28.14, debit
49, 2023-2-1, 18:3:9, 10, 0.83, 10.82, cash
50, 2023-2-1, 21:59:58, 13, 1.07, 14.07, debit
51, 2023-2-1, 21:16:8, 25, 2.06, 27.06, credit
52, 2023-2-1, 20:23:27, 9, 0.74, 9.74, credit
53, 2023-2-1, 22:22:14, 22, 1.82, 23.82, credit
54, 2023-2-1, 22:28:46, 22, 1.82, 23.82, debit
55, 2023-2-1, 21:58:16, 13, 1.07, 14.07, credit
56, 2023-2-1, 12:53:22, 26, 2.15, 28.14, debit
57, 2023-2-1, 18:12:40, 19, 1.57, 20.57, credit
58, 2023-2-1, 11:26:8, 27, 2.23, 29.23, credit
59, 2023-2-1, 16:46:49, 15, 1.24, 16.24, cash
60, 2023-2-1, 21:11:0, 16, 1.32, 17.32, debit
61, 2023-2-1, 11:6:35, 27, 2.23, 29.23, credit
62, 2023-2-1, 11:38:7, 9, 0.74, 9.74, debit
63, 2023-2-1, 17:22:1, 17, 1.40, 18.40, debit
64, 2023-2-1, 20:42:51, 20, 1.65, 21.65, credit
65, 2023-2-1, 18:45:38, 8, 0.66, 8.66, debit
66, 2023-2-1, 19:36:51, 13, 1.07, 14.07, debit
67, 2023-2-1, 22:55:24, 19, 1.57, 20.57, credit
68, 2023-2-1, 11:30:4, 11, 0.91, 11.91, debit
69, 2023-2-1, 13:22:16, 10, 0.83, 10.82, cash
70, 2023-2-1, 15:21:2, 14, 1.16, 15.15, cash
71, 2023-2-1, 13:48:23, 23, 1.90, 24.90, debit
72, 2023-2-1, 11:5:56, 11, 0.91, 11.91, cash
73, 2023-2-1, 21:51:57, 29, 2.39, 31.39, credit
74, 2023-2-1, 19:51:58, 18, 1.49, 19.48, credit
75, 2023-2-1, 16:12:58, 14, 1.16, 15.15, credit
76, 2023-2-1, 13:6:20, 17, 1.40, 18.40, debit
77, 2023-2-1, 21:55:20, 23, 1.90, 24.90, debit
78, 2023-2-1, 14:57:14, 22, 1.82, 23.82, cash
79, 2023-2-1, 20:16:6, 14, 1.16, 15.15, debit
80, 2023-2-1, 21:15:8, 12, 0.99, 12.99, debit
81, 2023-2-1, 15:3:10, 20, 1.65, 21.65, cash
82, 2023-2-1, 16:5:56, 20, 1.65, 21.65, debit
83, 2023-2-1, 19:4:4, 15, 1.24, 16.24, cash
84, 2023-2-1, 20:16:35, 16, 1.32, 17.32, cash
85, 2023-2-1, 21:57:48, 12, 0.99, 12.99, cash
86, 2023-2-1, 14:56:54, 27, 2.23, 29.23, cash
87, 2023-2-1, 22:4:44, 9, 0.74, 9.74, debit
88, 2023-2-1, 14:53:51, 25, 2.06, 27.06, debit
89, 2023-2-1, 16:57:29, 15, 1.24, 16.24, credit
90, 2023-2-1, 21:34:1, 20, 1.65, 21.65, debit
91, 2023-2-1, 15:27:29, 24, 1.98, 25.98, credit
92, 2023-2-1, 21:18:8, 5, 0.41, 5.41, cash
93, 2023-2-1, 20:55:23, 27, 2.23, 29.23, cash
94, 2023-2-1, 16:57:9, 20, 1.65, 21.65, debit
